x,y,estimate,variance
20.352250,0.195695,15.166677,0.095486
20.547945,0.195695,15.185350,0.091380
20.743640,0.195695,15.200679,0.089952
20.939335,0.195695,15.212497,0.091441
21.135029,0.195695,15.221008,0.095616
21.330724,0.195695,15.226695,0.101894
21.526419,0.195695,15.230123,0.109580
21.722114,0.195695,15.231811,0.118044
21.917808,0.195695,15.232171,0.126796
22.113503,0.195695,15.231509,0.135477
22.309198,0.195695,15.230046,0.143838
22.504892,0.195695,15.227941,0.151707
22.700587,0.195695,15.225309,0.158970
22.896282,0.195695,15.222235,0.165552
23.091977,0.195695,15.218779,0.171405
23.287671,0.195695,15.214992,0.176503
23.483366,0.195695,15.210936,0.180831
23.679061,0.195695,15.206647,0.184388
23.874755,0.195695,15.202146,0.187176
24.070450,0.195695,15.197449,0.189201
24.266145,0.195695,15.192570,0.190474
24.461840,0.195695,15.187519,0.191005
24.657534,0.195695,15.182303,0.190804
24.853229,0.195695,15.176883,0.189881
25.048924,0.195695,15.171170,0.188245
25.244618,0.195695,15.165164,0.185902
25.440313,0.195695,15.158863,0.182859
25.636008,0.195695,15.152263,0.179119
25.831703,0.195695,15.145356,0.174686
26.027397,0.195695,15.138130,0.169567
26.223092,0.195695,15.130564,0.163774
26.418787,0.195695,15.122632,0.157330
26.614481,0.195695,15.114296,0.150270
26.810176,0.195695,15.105508,0.142657
27.005871,0.195695,15.096194,0.134587
27.201566,0.195695,15.086249,0.126208
27.397260,0.195695,15.075527,0.117740
27.592955,0.195695,15.063839,0.109494
27.788650,0.195695,15.050937,0.101884
27.984344,0.195695,15.036513,0.095401
28.180039,0.195695,15.020237,0.090525
28.375734,0.195695,15.001841,0.087552
28.571429,0.195695,14.981192,0.086431
28.767123,0.195695,14.958345,0.086758
28.962818,0.195695,14.933490,0.087984
29.158513,0.195695,14.906902,0.089665
29.354207,0.195695,14.878870,0.091604
29.549902,0.195695,14.849555,0.093832
29.745597,0.195695,14.819082,0.096481
29.941292,0.195695,14.787570,0.099639
30.136986,0.195695,14.755142,0.103262
30.332681,0.195695,14.721928,0.107168
30.528376,0.195695,14.688053,0.111100
30.724070,0.195695,14.653630,0.114796
30.919765,0.195695,14.618752,0.118032
31.115460,0.195695,14.583501,0.120652
31.311155,0.195695,14.548120,0.122563
31.506849,0.195695,14.512706,0.123723
31.702544,0.195695,14.477279,0.124128
31.898239,0.195695,14.441862,0.123793
32.093933,0.195695,14.406448,0.122734
32.289628,0.195695,14.371042,0.120958
32.485323,0.195695,14.335659,0.118441
32.681018,0.195695,14.300312,0.115135
32.876712,0.195695,14.264968,0.110960
33.072407,0.195695,14.229556,0.105816
33.268102,0.195695,14.194104,0.099593
33.463796,0.195695,14.158616,0.092187
33.659491,0.195695,14.123079,0.083523
33.855186,0.195695,14.087479,0.073582
34.050881,0.195695,14.051723,0.062480
34.246575,0.195695,14.015549,0.050643
34.442270,0.195695,13.978258,0.039330
34.637965,0.195695,13.938049,0.031907
34.833659,0.195695,13.892361,0.033314
35.029354,0.195695,13.841735,0.042701
35.225049,0.195695,13.788806,0.055194
35.420744,0.195695,13.734923,0.068134
35.616438,0.195695,13.680623,0.080551
